Filename:	D:\Clemens 2016\LME_0_12b.drdd 
Operator ID:	 
Sample ID:	LME_0_12b 
Comment: 	Isothermal 150C /480min 
Serial Number:	587P2203 
Data Collected:	25-10-2016 22:07:22 
Sample Weight:	10.400 mg 
Display Weight:	10.400 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\default.drdc 
Date/Time:	 
Initial Conditions 
Temperature:	 100.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Standard 
Baseline Filename:	D:\foostrum\FiberCore baseline.drdd 
End Condition:	Go To Load 
Total Points in Run:	28830 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 100.00°C to 150.00°C at 100.00°C/min 
 
2)	Hold for 480.0 min at 150.00°C 
 
1) Sapphire DSC Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	0.983333	1.264867	0.000000	150.000000	151.138046	0.000000	1.480999 
	1.000000	1.151240	0.000000	150.000000	151.217682	0.000000	1.480999 
	1.016667	1.047006	0.000000	150.000000	151.293961	0.000000	1.480999 
	1.033333	0.941288	0.000000	150.000000	151.363510	0.000000	1.480999 
	1.050000	0.855485	0.000000	150.000000	151.433960	0.000000	1.480999 
	1.066667	0.770459	0.000000	150.000000	151.502579	0.000000	1.480999 
	1.083333	0.701182	0.000000	150.000000	151.566299	0.000000	1.480999 
	1.100000	0.636282	0.000000	150.000000	151.626038	0.000000	1.480999 
	1.116667	0.585154	0.000000	150.000000	151.686691	0.000000	1.480999 
	1.133333	0.537556	0.000000	150.000000	151.741211	0.000000	1.480999 
	1.150000	0.503376	0.000000	150.000000	151.795746	0.000000	1.480999 
	1.166667	0.472657	0.000000	150.000000	151.843536	0.000000	1.480999 
	1.183333	0.451753	0.000000	150.000000	151.889481	0.000000	1.480999 
	1.200000	0.437347	0.000000	150.000000	151.932068	0.000000	1.480999 
	1.216667	0.427107	0.000000	150.000000	151.970657	0.000000	1.480999 
	1.233333	0.423859	0.000000	150.000000	152.004974	0.000000	1.480999 
	1.250000	0.424989	0.000000	150.000000	152.043259	0.000000	1.480999 
	1.266667	0.429932	0.000000	150.000000	152.075729	0.000000	1.480999 
	1.283333	0.439536	0.000000	150.000000	152.103607	0.000000	1.480999 
